rank,model_3mm,n_features_3mm,model_2mm,n_features_2mm,cv_mae_3mm,cv_mae_2mm,feasible,q2,q0,margin2_GPR3mm,margin2_GPR2mm,margin0_GPR3mm,margin0_GPR2mm,score,f1_2,f1_0,recall_2,precision_2,recall_0,precision_0,overall_accuracy,autopass_rate,replan_rate,manual_rate
78,XGBoost,15,SVR,15,0.5173,2.1783,True,0.85,0.45,0.4235,2.3998,0.0635,0.0469,0.807,0.1954,0.6116,0.1097,0.8947,0.4933,0.8043,0.4726,0.0613,0.0742,0.8645
79,RandomForest,5,SVR,15,0.5325,2.1783,True,0.85,0.15,0.4771,2.3998,-0.4771,-2.3998,0.8059,0.1954,0.6105,0.1097,0.8947,0.7733,0.5043,0.429,0.0613,0.1855,0.7532
80,RandomForest,10,XGBoost,15,0.5287,2.121,True,0.85,0.25,0.4392,2.2004,-0.1952,-1.1366,0.8047,0.1765,0.6282,0.0968,1.0,0.6533,0.6049,0.4548,0.0484,0.1306,0.821
81,SVR,10,RandomForest,15,0.6033,2.1605,True,0.8,0.85,0.5037,1.6032,0.5026,2.3711,0.8045,0.2527,0.5517,0.1484,0.8519,0.4267,0.7805,0.4774,0.0871,0.0661,0.8468
82,MLP,10,RandomForest,10,0.6694,2.1363,True,0.8,0.25,0.4644,1.7425,-0.3101,-1.1658,0.8029,0.2017,0.6012,0.1129,0.9459,0.6933,0.5306,0.4419,0.0597,0.1581,0.7823
83,Ridge,5,RandomForest,5,0.9306,2.1796,True,0.8,0.5,0.4638,1.771,0.3236,0.4271,0.797,0.2707,0.5263,0.1581,0.9423,0.4667,0.6034,0.4726,0.0839,0.0935,0.8226
84,XGBoost,5,SVR,15,0.5221,2.1783,True,0.85,0.15,0.4424,2.3998,-0.4424,-2.3998,0.7927,0.185,0.6077,0.1032,0.8889,0.7333,0.5189,0.4306,0.0581,0.171,0.771
85,MLP,15,RandomForest,10,0.6928,2.1363,True,0.8,0.3,0.519,1.7425,-0.2414,-0.6454,0.7909,0.1808,0.6102,0.1,0.9394,0.72,0.5294,0.4355,0.0532,0.1645,0.7823
86,XGBoost,10,SVR,15,0.5293,2.1783,True,0.85,0.45,0.452,2.3998,0.0279,0.0469,0.7833,0.2006,0.5827,0.1129,0.8974,0.4933,0.7115,0.4645,0.0629,0.0839,0.8532
87,XGBoost,10,RandomForest,10,0.5293,2.1363,True,0.8,0.15,0.3108,1.7425,-0.452,-2.2004,0.7813,0.2017,0.5795,0.1129,0.9459,0.68,0.505,0.4339,0.0597,0.1629,0.7774
88,SVR,15,RandomForest,15,0.604,2.1605,True,0.8,0.75,0.4077,1.6032,0.4253,1.7801,0.7702,0.2278,0.5424,0.1323,0.82,0.4267,0.7442,0.4645,0.0806,0.0694,0.85
89,SVR,10,RandomForest,10,0.6033,2.1363,True,0.8,0.9,0.5037,1.7425,0.7245,2.7049,0.7661,0.1971,0.569,0.1097,0.9714,0.44,0.8049,0.4726,0.0565,0.0661,0.8774
90,RandomForest,15,XGBoost,15,0.5575,2.121,True,0.85,0.3,0.5751,2.2004,-0.0807,-0.7812,0.7647,0.1765,0.5882,0.0968,1.0,0.5333,0.6557,0.4581,0.0484,0.0984,0.8532
91,RandomForest,15,RandomForest,10,0.5575,2.1363,True,0.8,0.35,0.2968,1.7425,0.0324,-0.3408,0.7642,0.2017,0.5625,0.1129,0.9459,0.48,0.6792,0.4629,0.0597,0.0855,0.8548
92,SVR,5,RandomForest,10,0.5823,2.1363,True,0.8,0.9,0.4933,1.7425,0.6316,2.7049,0.7637,0.2017,0.562,0.1129,0.9459,0.4533,0.7391,0.4677,0.0597,0.0742,0.8661
93,MLP,5,RandomForest,15,0.6296,2.1605,True,0.8,0.85,0.4574,1.6032,0.619,2.3711,0.7498,0.2028,0.547,0.1161,0.8,0.4267,0.7619,0.4581,0.0726,0.0677,0.8597
94,XGBoost,15,XGBoost,5,0.5173,2.2867,True,0.85,0.6,0.4235,2.2868,0.1896,0.6975,0.7493,0.1377,0.6116,0.0742,0.9583,0.4933,0.8043,0.4597,0.0387,0.0742,0.8871
95,Ridge,5,RandomForest,15,0.9306,2.1605,True,0.8,0.4,0.4638,1.6032,0.1627,0.1465,0.7391,0.2011,0.5379,0.1129,0.9211,0.52,0.5571,0.4435,0.0613,0.1129,0.8258
96,MLP,15,SVR,15,0.6928,2.1783,True,0.85,0.4,0.7003,2.3998,-0.0979,-0.2143,0.7302,0.1479,0.5823,0.0806,0.8929,0.6133,0.5542,0.429,0.0452,0.1339,0.821
97,MLP,5,RandomForest,10,0.6296,2.1363,True,0.8,0.9,0.4574,1.7425,0.7626,2.7049,0.7296,0.1484,0.5812,0.0806,0.9259,0.4533,0.8095,0.4581,0.0435,0.0677,0.8887
98,SVR,15,RandomForest,10,0.604,2.1363,True,0.8,0.8,0.4077,1.7425,0.5002,1.9035,0.7284,0.186,0.5424,0.1032,0.9412,0.4267,0.7442,0.4613,0.0548,0.0694,0.8758
99,RandomForest,15,SVR,15,0.5575,2.1783,True,0.85,0.35,0.5751,2.3998,0.0324,-0.4893,0.7099,0.1744,0.5354,0.0968,0.8824,0.4533,0.6538,0.4468,0.0548,0.0839,0.8613
100,XGBoost,10,XGBoost,5,0.5293,2.2867,True,0.85,0.6,0.452,2.2868,0.1774,0.6975,0.7092,0.1377,0.5714,0.0742,0.9583,0.48,0.7059,0.4484,0.0387,0.0823,0.879
101,Ridge,10,RandomForest,5,0.8846,2.1796,True,0.8,0.45,0.7029,1.771,0.1401,0.1533,0.7083,0.1813,0.527,0.1,0.9688,0.52,0.5342,0.4355,0.0516,0.1177,0.8306
102,XGBoost,5,XGBoost,5,0.5221,2.2867,True,0.85,0.2,0.4424,2.2868,-0.3338,-1.9148,0.7053,0.1321,0.5732,0.071,0.9565,0.6267,0.5281,0.421,0.0371,0.1435,0.8194
103,MLP,10,SVR,15,0.6694,2.1783,True,0.85,0.2,0.7452,2.3998,-0.4644,-1.6,0.702,0.1488,0.5532,0.0806,0.9615,0.6933,0.4602,0.4032,0.0419,0.1823,0.7758
104,SVR,15,SVR,15,0.604,2.1783,True,0.85,0.85,0.7023,2.3998,0.6383,2.4438,0.6976,0.1797,0.5179,0.1,0.8857,0.3867,0.7838,0.4565,0.0565,0.0597,0.8839
105,Ridge,5,RandomForest,10,0.9306,2.1363,True,0.8,0.35,0.4638,1.7425,0.0295,-0.3408,0.6947,0.1657,0.529,0.0903,1.0,0.5467,0.5125,0.4274,0.0452,0.129,0.8258
106,XGBoost,15,Ridge,5,0.5173,2.6041,True,0.99,0.6,6.2991,16.2508,0.1896,1.1258,0.6829,0.0,0.6829,0.0,,0.56,0.875,0.4371,0.0,0.0774,0.9226
107,XGBoost,15,Ridge,10,0.5173,2.6627,True,0.99,0.6,6.2991,14.9976,0.1896,1.057,0.6829,0.0,0.6829,0.0,,0.56,0.875,0.4371,0.0,0.0774,0.9226
108,XGBoost,15,Ridge,15,0.5173,2.7373,True,0.99,0.6,6.2991,15.3867,0.1896,1.1265,0.6829,0.0,0.6829,0.0,,0.56,0.875,0.4371,0.0,0.0774,0.9226
109,SVR,5,XGBoost,5,0.5823,2.2867,True,0.85,0.75,0.7431,2.2868,0.2711,1.5026,0.6807,0.1269,0.5538,0.0677,1.0,0.48,0.6545,0.4403,0.0339,0.0887,0.8774
110,XGBoost,15,XGBoost,15,0.5173,2.121,True,0.9,0.45,0.8528,2.6951,0.0635,0.119,0.6802,0.0503,0.6299,0.0258,1.0,0.5333,0.7692,0.4371,0.0129,0.0839,0.9032
111,MLP,15,XGBoost,15,0.6928,2.121,True,0.9,0.35,0.9704,2.6951,-0.1688,-0.3608,0.6789,0.0442,0.6347,0.0226,1.0,0.7067,0.5761,0.4129,0.0113,0.1484,0.8403
112,RandomForest,5,XGBoost,5,0.5325,2.2867,True,0.85,0.3,0.4771,2.2868,-0.1404,-0.965,0.6735,0.1208,0.5526,0.0645,0.9524,0.56,0.5455,0.421,0.0339,0.1242,0.8419
113,Ridge,15,RandomForest,5,0.9528,2.1796,True,0.8,0.5,0.7671,1.771,0.2577,0.4271,0.6724,0.1647,0.5077,0.0903,0.9333,0.44,0.6,0.4387,0.0484,0.0887,0.8629
114,XGBoost,10,MLP,10,0.5293,2.7967,True,0.9,0.5,0.7941,4.7149,0.0786,-0.1147,0.6714,0.0805,0.5909,0.0419,1.0,0.52,0.6842,0.4339,0.021,0.0919,0.8871
