comparison,fpr,tpr,threshold_q
class2_vs_rest,0.33548387096774196,0.8870967741935484,0.2938374363411606
class2_vs_rest,0.3387096774193548,0.8870967741935484,0.2855461075576814
class2_vs_rest,0.3387096774193548,0.896774193548387,0.2654411968735408
class2_vs_rest,0.3419354838709677,0.896774193548387,0.26502221042558805
class2_vs_rest,0.3419354838709677,0.9,0.2619531365680956
class2_vs_rest,0.34838709677419355,0.9,0.25820138220147154
class2_vs_rest,0.34838709677419355,0.9193548387096774,0.215309240620496
class2_vs_rest,0.35161290322580646,0.9193548387096774,0.21518310111562544
class2_vs_rest,0.35161290322580646,0.9258064516129032,0.19405289180815732
class2_vs_rest,0.3548387096774194,0.9258064516129032,0.18471775505837335
class2_vs_rest,0.3548387096774194,0.9290322580645162,0.18187094724123865
class2_vs_rest,0.3580645161290323,0.9290322580645162,0.18094939324491446
class2_vs_rest,0.3580645161290323,0.932258064516129,0.17320264452323805
class2_vs_rest,0.36774193548387096,0.932258064516129,0.1667051955646658
class2_vs_rest,0.36774193548387096,0.9419354838709677,0.14963200162577206
class2_vs_rest,0.3709677419354839,0.9419354838709677,0.14846808464139205
class2_vs_rest,0.3709677419354839,0.9451612903225807,0.14835114380597836
class2_vs_rest,0.3741935483870968,0.9451612903225807,0.1469268417978882
class2_vs_rest,0.3741935483870968,0.9483870967741935,0.1421647819063005
class2_vs_rest,0.3903225806451613,0.9483870967741935,0.12520995627631756
class2_vs_rest,0.3903225806451613,0.9516129032258065,0.11954765751211632
class2_vs_rest,0.3935483870967742,0.9516129032258065,0.11681746495120549
class2_vs_rest,0.3935483870967742,0.9580645161290322,0.10273804131513002
class2_vs_rest,0.42258064516129035,0.9580645161290322,0.08064759027578043
class2_vs_rest,0.42258064516129035,0.9612903225806452,0.07988785878738813
class2_vs_rest,0.432258064516129,0.9612903225806452,0.0685495697604142
class2_vs_rest,0.432258064516129,0.9709677419354839,0.05971371546289323
class2_vs_rest,0.4483870967741935,0.9709677419354839,0.05385686983721247
class2_vs_rest,0.4483870967741935,0.9741935483870968,0.051696284329563816
class2_vs_rest,0.4870967741935484,0.9741935483870968,0.04968241360923226
class2_vs_rest,0.4870967741935484,0.9806451612903225,0.04951764960254845
class2_vs_rest,0.5032258064516129,0.9806451612903225,0.047123954717671016
class2_vs_rest,0.5032258064516129,0.9838709677419355,0.046849757673667204
class2_vs_rest,0.5161290322580645,0.9838709677419355,0.04168528904094964
class2_vs_rest,0.5225806451612903,0.9838709677419355,0.039971439102449845
class2_vs_rest,0.532258064516129,0.9838709677419355,0.03947575323317373
class2_vs_rest,0.532258064516129,0.9870967741935484,0.03934981502169931
class2_vs_rest,0.5419354838709678,0.9870967741935484,0.037873756424674714
class2_vs_rest,0.5419354838709678,0.9903225806451613,0.03780058348086951
class2_vs_rest,0.5516129032258065,0.9903225806451613,0.03651147502761032
class2_vs_rest,0.5516129032258065,0.9935483870967742,0.03618010867087807
class2_vs_rest,0.6161290322580645,0.9935483870967742,0.02414772134312365
class2_vs_rest,0.6161290322580645,0.9967741935483871,0.022617124394184167
class2_vs_rest,0.864516129032258,0.9967741935483871,0.006078796512012146
class2_vs_rest,0.864516129032258,1.0,0.006036983127158223
class2_vs_rest,0.896774193548387,1.0,0.0021024311549035874
class2_vs_rest,1.0,1.0,-5e-324
class0_vs_rest,0.0,0.0,inf
class0_vs_rest,0.0,0.013333333333333334,0.9934960060357405
class0_vs_rest,0.003669724770642202,0.013333333333333334,0.9934958901489916
class0_vs_rest,0.003669724770642202,0.08,0.9930764361820402
class0_vs_rest,0.007339449541284404,0.08,0.9930762477731181
class0_vs_rest,0.007339449541284404,0.13333333333333333,0.9928247439392638
class0_vs_rest,0.009174311926605505,0.14666666666666667,0.9928247262965004
class0_vs_rest,0.009174311926605505,0.25333333333333335,0.9171052100833987
class0_vs_rest,0.011009174311926606,0.25333333333333335,0.9053311196853553
class0_vs_rest,0.011009174311926606,0.28,0.8675465573655831
class0_vs_rest,0.011009174311926606,0.30666666666666664,0.8212272133822239
class0_vs_rest,0.012844036697247707,0.30666666666666664,0.8093809329981422
class0_vs_rest,0.012844036697247707,0.4,0.7362344676816385
class0_vs_rest,0.012844036697247707,0.4266666666666667,0.7343991355203714
class0_vs_rest,0.012844036697247707,0.4666666666666667,0.6922784692850756
